ID,Surveyed Date,Surveyed Time,Surveyed End Date,Q1. What brings you to this neighborhood today?,Q2. How often do you visit the neighborhood?,Q3. How much time do you typically spend when you visit?,Q4. How do you typically get to this neighborhood? Select Primary (next: secondary),Q5. How do you typically get to this neighborhood? (select secondary),Q6. How much money do you typically spend when you visit? (at businesses in the area),"Q7. In this neighborhood, how often do you recognize someone by face or name?",Q8. This neighborhood is clean and well-maintained,Q9. This neighborhood is safe,Q10. This neighborhood is attractive,Q11. This neighborhood is active and lively,Q12. This neighborhood is a place where it's easy to talk to others (who I may not have known before),Q13. This neighborhood has a strong identity,Q14. This neighborhood is in an area with a lot of noise,"Q15. When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","Q16. When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","Q17. When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","Q18. When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",Q19. What year were you born?,Q20. Your gender identity:,Q21. Your ethnic identity:,Q22. Your racial identity:,Q23. What is your home zipcode?,Q25. SURVEYOR: Is it raining?,Q26. SURVEYOR: Location,Q27. Location Between __,Q28. Location Between AND __,Q29. SURVEYOR: Side of street for this interview
9515431,06/06/2015,11:51:25,06/06/2015 11:57:00 AM,To meet friends,,,Streetcar/Train,On foot,Greater than $30,Often,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1981,Male,Non-Hispanic,White,94114,No,Hollywood,la brea ,sycamore,North
9515432,06/06/2015,11:59:11,06/06/2015 12:01:00 PM,"I Live Here,  To meet friends, To dine / drink, To shop",Daily,,On foot,,Less than $5,Never,Strongly Disagree,Moderately Disagree,Don't Know / No Opinion,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1991,Female,Non-Hispanic,White,90028,No,Hollywood,sycamore,orange,North
9515480,06/06/2015,12:00:04,06/06/2015 12:02:00 PM,I Work Here,Daily,,Car,,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1976,Female,Non-Hispanic,White,91204,No,Hollywood,La Brea,Gower,North
9515481,06/06/2015,12:05:27,06/06/2015 12:07:00 PM,I Live Here,Several times a month,,,,,,,,,,,,,,,,,,,,,,No,Hollywood,La Brea,Grower ,North
9515482,06/06/2015,12:08:14,06/06/2015 12:11:00 PM,I Work Here,Several times a week,,Car,,$10-30,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Sometimes,Never,Never,Sometimes,1967,Male,Non-Hispanic,Black,91001,No,Hollywood,La Brea,Gower ,North
9515433,06/06/2015,12:08:26,06/06/2015 12:11:00 PM,Passing through en route to somewhere else,Once a month,30 minutes - 1 hour,Car,On foot,Greater than $30,Very often,Moderately Disagree,Don't Know / No Opinion,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Never,Never,Never,Never,1988,Female,Non-Hispanic,Asian,23230,No,Hollywood,mc cadden,highland,North
9470039,06/06/2015,12:11:03,06/06/2015 12:13:00 PM,Passing through en route to somewhere else,Once a month,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Never,1980,Male,Hispanic or Latino,White,90255,No,Cesar Chavez,,,South
9515483,06/06/2015,12:12:29,06/06/2015 12:16:00 PM,To meet friends,,,Car,,Greater than $30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Often,Never,Never,Often,1995,Male,Hispanic or Latino,Latin,91761,No,Hollywood,La Brea ,Gower ,North
9515434,06/06/2015,12:17:36,06/06/2015 12:21:00 PM,"I Live Here, Going to/from school",Daily,,On foot,Bus,$10-30,Sometimes,Moderately Disagree,,Moderately Agree,Moderately Agree,,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1993,Male,Hispanic or Latino,White,90028,No,Hollywood,whitley,schrader,North
9470040,06/06/2015,12:18:26,06/06/2015 12:20:00 PM,I Live Here,Daily,< 10 minutes,Bus,On foot,None,Sometimes,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9515484,06/06/2015,12:18:45,06/06/2015 12:21:00 PM,I Work Here,Daily,,On foot,Streetcar/Train,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1962,Male,Non-Hispanic,White,90028,No,Hollywood,La Brea ,Gower ,North
9515435,06/06/2015,12:22:06,06/06/2015 12:25:00 PM,"Passing through en route to somewhere else, To meet friends",,,Streetcar/Train,On foot,Greater than $30,Never,Moderately Agree,,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,,Never,Never,Never,Never,1988,Male,Non-Hispanic,White,82716,No,Hollywood,schrader,whitley,North
9470042,06/06/2015,12:23:17,06/06/2015 12:25:00 PM,I Work Here,Daily,,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Agree,,Never,Never,Never,1970,Male,Hispanic or Latino,White,90023,No,Cesar Chavez,,,South
9515485,06/06/2015,12:24:37,06/06/2015 12:28:00 PM,I Work Here,Daily,,Streetcar/Train,Bus,$5-10,Very often,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Often,Never,1961,Male,,,90028,No,Hollywood,La Brea ,Gower ,North
9470043,06/06/2015,12:26:06,06/06/2015 12:35:00 PM,"I Live Here, I Work Here",Daily,,Bus,On foot,$10-30,Sometimes,Strongly Disagree,Strongly Disagree,,Moderately Agree,Moderately Disagree,,,Never,Never,Never,Never,,Female,Non-Hispanic,White,90063,No,Cesar Chavez,,,South
9515436,06/06/2015,12:30:40,06/06/2015 12:34:00 PM,Passing through en route to somewhere else,,,Streetcar/Train,On foot,Greater than $30,Never,,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Don't Know / No Opinion,Strongly Agree,Never,Never,Never,Sometimes,1982,Male,Non-Hispanic,arabic,45328,No,Hollywood,cahuenga,cosmo,North
9470044,06/06/2015,12:36:41,06/06/2015 12:39:00 PM,I Live Here,Daily,,On foot,Bus,Greater than $30,Often,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Agree,,Moderately Disagree,Sometimes,Sometimes,Sometimes,Sometimes,1986,Female,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9515437,06/06/2015,12:37:40,06/06/2015 12:40:00 PM,"I Live Here, Passing through en route to somewhere else, To meet friends, To dine / drink, To shop",Daily,,Car,On foot,Greater than $30,Very often,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1991,Female,Hispanic or Latino,White,90038,No,Hollywood,vine ,ivar,North
9470045,06/06/2015,12:39:05,06/06/2015 12:40:00 PM,I Live Here,Daily,,On foot,Bus,$5-10,Often,Moderately Disagree,,Moderately Agree,,Moderately Agree,Moderately Agree,,Sometimes,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9470046,06/06/2015,12:41:19,06/06/2015 12:43:00 PM,Passing through en route to somewhere else,,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,,No,Cesar Chavez,,,South
9515438,06/06/2015,12:41:43,06/06/2015 12:44:00 PM,"I Live Here,  For music / art, To meet friends, To dine / drink, To shop",Daily,,Streetcar/Train,Bus,Greater than $30,Sometimes,Strongly Disagree,,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1984,Male,Non-Hispanic,White,90068,No,Hollywood,vine,ivar,North
9470047,06/06/2015,12:43:04,06/06/2015 12:44:00 PM,Passing through en route to somewhere else,,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,,,Moderately Agree,,,Moderately Agree,Never,Never,Never,Sometimes,,Female,Hispanic or Latino,White,,No,Cesar Chavez,,,South
9515440,06/06/2015,12:44:50,06/06/2015 12:50:00 PM,"I Live Here, I Work Here,  For music / art, To meet friends, To dine / drink, To shop",Daily,,Other,Car,Greater than $30,Very often,,,,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Never,Never,Never,Sometimes,1972,Male,Non-Hispanic,mixed,90028,No,Hollywood,vine,ivar,North
9515487,06/06/2015,12:48:11,06/06/2015 12:53:00 PM,I Work Here,Daily,,Car,,$10-30,Very often,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1961,Male,Non-Hispanic,White,91201,No,Hollywood,La Brea,Gower ,South
9470049,06/06/2015,12:50:58,06/06/2015 12:54:00 PM,Passing through en route to somewhere else,Several times a week,30 minutes - 1 hour,Bus,Bus,Less than $5,Never,Moderately Disagree,Moderately Disagree,Moderately Agree,,,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90001,No,Cesar Chavez,,,South
9515441,06/06/2015,12:52:54,06/06/2015 01:01:00 PM,"I Live Here, I Work Here,  To meet friends, To dine / drink, To shop",Daily,,On foot,Streetcar/Train,$10-30,Very often,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1988,Male,Non-Hispanic,Black,90028,No,Hollywood,argyle ,el centro,North
9470050,06/06/2015,13:01:41,06/06/2015 01:03:00 PM,"I Live Here, I Work Here",Daily,,Bus,On foot,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Never,,Male,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9515442,06/06/2015,13:03:04,06/06/2015 01:06:00 PM,"I Work Here, Passing through en route to somewhere else",Daily,,Bus,On foot,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1989,Female,Non-Hispanic,White,90031,No,Hollywood,argyle,el centro,North
9470052,06/06/2015,13:03:51,06/06/2015 01:04:00 PM,"I Live Here, I Work Here",Daily,,Bus,On foot,$5-10,Sometimes,Moderately Disagree,Moderately Disagree,,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,,Male,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9515445,06/06/2015,13:06:22,06/06/2015 01:08:00 PM,"I Live Here,  To meet friends, To dine / drink, To shop",Daily,,On foot,Car,Greater than $30,Often,Strongly Disagree,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know / No Opinion,Never,Never,Never,Sometimes,1983,Female,Non-Hispanic,White,90028,No,Hollywood,vine,argyle,North
9470053,06/06/2015,13:08:15,06/06/2015 01:10:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Never,1996,Male,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9515446,06/06/2015,13:08:50,06/06/2015 01:12:00 PM,"For music / art, To meet friends, To dine / drink",Once a month,,Car,,Greater than $30,Never,Moderately Disagree,Moderately Disagree,,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1987,Other,Non-Hispanic,mix,91311,No,Hollywood,argyle,vine,North
9515488,06/06/2015,13:10:08,06/06/2015 01:14:00 PM,To shop,Several times a month,,Streetcar/Train,,$10-30,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1966,Male,Non-Hispanic,White,90033,No,Hollywood,La Brea ,Gower ,South
9470054,06/06/2015,13:11:57,06/06/2015 01:13:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,$5-10,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1998,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9470055,06/06/2015,13:16:53,06/06/2015 01:19:00 PM,To shop,Once a week,30 minutes - 1 hour,Bus,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Agree,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9515490,06/06/2015,13:17:41,06/06/2015 01:20:00 PM,To meet friends,Several times a week,,Car,Taxi,$10-30,Never,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,,,,,,,,,,,,No,Hollywood,La Brea ,Gower ,North
9470056,06/06/2015,13:21:30,06/06/2015 01:44:00 PM,Passing through en route to somewhere else,Several times a week,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,1962,Male,Hispanic or Latino,White,90043,No,Cesar Chavez,,,South
9515447,06/06/2015,13:23:59,06/06/2015 01:28:00 PM,"I Live Here, Passing through en route to somewhere elseFor music / art, To meet friends, To dine / drink, To shop",Daily,,On foot,Streetcar/Train,$10-30,Very often,,Don't Know / No Opinion,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Never,Sometimes,Never,Often,1983,Female,Non-Hispanic,White,90028,No,Hollywood,vine,argyle,South
9515448,06/06/2015,13:28:23,06/06/2015 01:35:00 PM,"I Live Here,  To dine / drink, To shop",Daily,,Bus,On foot,Less than $5,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1950,Male,Non-Hispanic,White,90005,No,Hollywood,vine,ivar,South
9515449,06/06/2015,13:35:36,06/06/2015 01:38:00 PM,"I Live Here, I Work Here,  To meet friends, To dine / drink, To shop",Daily,,Bus,Streetcar/Train,Greater than $30,Sometimes,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1987,Male,Hispanic or Latino,White,90020,No,Hollywood,vine,ivar,South
9515450,06/06/2015,13:38:41,06/06/2015 01:41:00 PM,Passing through en route to somewhere else,Several times a week,30 minutes - 1 hour,Streetcar/Train,Bus,$5-10,Never,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1930,Male,Non-Hispanic,White,90005,No,Hollywood,vine,ivar,South
9470057,06/06/2015,13:45:32,06/06/2015 01:48:00 PM,"I Live Here, I Work Here",Daily,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Disagree,Never,Sometimes,Never,Never,1975,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9470064,06/06/2015,15:37:56,06/06/2015 03:40:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,Greater than $30,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Disagree,,Moderately Agree,Often,Never,Never,Often,,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9515451,06/06/2015,13:53:31,06/06/2015 01:56:00 PM,"I Live Here, I Work Here,  For music / art, To meet friends, To dine / drink, To shop",Daily,,On foot,Bus,$10-30,Very often,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1993,Male,Non-Hispanic,Black,91607,No,Hollywood,las palmas ,cherokee,South
9515452,06/06/2015,13:58:37,06/06/2015 02:01:00 PM,"I Live Here,  For music / art, To meet friends, To dine / drink, To shop",Daily,,On foot,Car,Greater than $30,Sometimes,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Never,Often,1990,Female,Non-Hispanic,White,90038,No,Hollywood,las palmas ,mc cadden,South
9515453,06/06/2015,14:10:05,06/06/2015 02:13:00 PM,"To meet friends, To dine / drink, To shop",,,Bus,On foot,Greater than $30,Never,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Never,Never,,Never,1983,Female,Hispanic or Latino,White,90007,No,Hollywood,cahuenga,ivar,South
9515455,06/06/2015,14:16:29,06/06/2015 02:19:00 PM,"I Work Here,  To dine / drink",Daily,,Bus,Taxi,$10-30,Often,,,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1986,Male,Hispanic or Latino,White,90035,No,Hollywood,vine,ivar,South
9515456,06/06/2015,14:20:23,06/06/2015 02:23:00 PM,"Passing through en route to somewhere else, To meet friends, To dine / drink, To shop",Once a month,,Streetcar/Train,Bus,$10-30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1990,Female,Non-Hispanic,White,94458,No,Hollywood,vine,ivar,South
9515457,06/06/2015,14:23:51,06/06/2015 02:28:00 PM,"I Work Here,  For music / art, To meet friends, To dine / drink",Daily,,Streetcar/Train,Bus,$10-30,Often,Moderately Disagree,Moderately Disagree,Strongly Agree,Don't Know / No Opinion,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1987,Other,Non-Hispanic,BlackWhitemix,90032,No,Hollywood,vine,ivar,South
9515458,06/06/2015,14:30:36,06/06/2015 02:33:00 PM,"Passing through en route to somewhere else, To meet friends, To dine / drink, To shop",Daily,,On foot,Streetcar/Train,Less than $5,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1984,Male,Non-Hispanic,White,90028,No,Hollywood,argyle,el centro,South
9470058,06/06/2015,14:33:13,06/06/2015 02:35:00 PM,I Live Here,Daily,30 minutes - 1 hour,Bus,On foot,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Sometimes,Sometimes,Sometimes,1990,Female,Hispanic or Latino,White,90031,No,Cesar Chavez,,,South
9515459,06/06/2015,14:34:00,06/06/2015 02:55:00 PM,"I Live Here,  For music / art, To meet friends, To dine / drink, To shop",Daily,,On foot,Bus,Greater than $30,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1990,Female,Non-Hispanic,Asian,90028,No,Hollywood,wilcox,cahuenga,South
9470059,06/06/2015,14:42:58,06/06/2015 02:45:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Sometimes,Moderately Disagree,Moderately Disagree,Don't Know / No Opinion,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,,Male,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9515491,06/06/2015,14:48:47,06/06/2015 02:54:00 PM,I Live Here,Daily,,On foot,,Greater than $30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Sometimes,1986,Male,Hispanic or Latino,White,90028,No,Hollywood,La Brea ,Gower ,North
9470060,06/06/2015,14:58:01,06/06/2015 03:00:00 PM,Passing through en route to somewhere else,Several times a week,10-30 minutes,On foot,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,1973,Male,Hispanic or Latino,White,91754,,Cesar Chavez,,,South
9515460,06/06/2015,14:59:47,06/06/2015 03:02:00 PM,"Passing through en route to somewhere else, To shop",Once a month,,Streetcar/Train,Bus,Greater than $30,Never,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1982,Female,Non-Hispanic,White,90004,No,Hollywood,whitley,cherokee,South
9515492,06/06/2015,15:02:19,06/06/2015 03:05:00 PM,For music / art,Once a week,,Streetcar/Train,,None,Never,Moderately Agree,,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,1992,Female,Non-Hispanic,Black,90016,No,Hollywood,La Brea ,Gower ,South
9515493,06/06/2015,15:07:28,06/06/2015 03:09:00 PM,I Live Here,Daily,,On foot,Bus,$5-10,Very often,Moderately Disagree,Moderately Agree,,,,,,,,,,,,,,,No,Hollywood,La Brea ,Gower ,South
9515494,06/06/2015,15:11:17,06/06/2015 03:15:00 PM,I Live Here,Daily,,Streetcar/Train,On foot,$5-10,Sometimes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Never,Sometimes,Never,Never,1995,Male,Hispanic or Latino,Latin ,90028,No,Hollywood,La Brea ,Gower ,South
9470061,06/06/2015,15:14:58,06/06/2015 03:17:00 PM,Passing through en route to somewhere else,Once a week,< 10 minutes,Car,On foot,$10-30,Never,,,Moderately Disagree,,,,,Sometimes,Never,Never,Sometimes,1976,Male,Hispanic or Latino,White,90023,No,Cesar Chavez,,,South
9515461,06/06/2015,15:16:30,06/06/2015 03:18:00 PM,To shop,,,Streetcar/Train,On foot,Greater than $30,Never,Strongly Disagree,,Strongly Disagree,Strongly Agree,,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1994,Female,Hispanic or Latino,White,90005,No,Hollywood,highland,orange,North
9515495,06/06/2015,15:17:32,06/06/2015 03:24:00 PM,To dine / drink,Several times a week,,Bus,On foot,Greater than $30,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Never,Never,Never,Never,1946,Male,Non-Hispanic,White,90026,No,Hollywood,La Brea ,Gower ,South
9515462,06/06/2015,15:29:42,06/06/2015 03:31:00 PM,To shop,,,Streetcar/Train,Bus,$10-30,Never,Moderately Disagree,Moderately Agree,,Strongly Agree,,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1987,Female,Non-Hispanic,Native Hawaiian or Pac Islander,90029,No,Hollywood,highland ,orange,South
9515464,06/06/2015,15:40:29,06/06/2015 03:42:00 PM,"I Live Here, I Work Here, For music / art, To meet friends, To dine / drink, To shop",Daily,,On foot,Bus,$10-30,Often,Strongly Disagree,Moderately Disagree,,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1985,Male,Non-Hispanic,White,90028,No,Hollywood,whitley ,schrader,South
9470065,06/06/2015,15:40:52,06/06/2015 03:41:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9470066,06/06/2015,15:43:51,06/06/2015 03:46:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$10-30,Often,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Never,Never,Sometimes,1992,Female,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9470067,06/06/2015,15:47:28,06/06/2015 03:50:00 PM,"Passing through en route to somewhere else, To meet friends",Once a week,,Bus,Bus,$10-30,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,,Moderately Agree,Never,Never,Never,Never,1989,Male,Hispanic or Latino,White,98315,No,Cesar Chavez,,,South
9470068,06/06/2015,15:53:55,06/06/2015 03:57:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,,,Never,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9515465,06/06/2015,15:55:19,06/06/2015 03:56:00 PM,"I Live Here, I Work Here,  For music / art, To meet friends, To dine / drink",Daily,,On foot,Streetcar/Train,Greater than $30,Very often,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1990,Male,Non-Hispanic,White,90028,No,Hollywood,argyle ,el centro,South
9470069,06/06/2015,15:58:33,06/06/2015 04:00:00 PM,Passing through en route to somewhere else,Several times a month,30 minutes - 1 hour,Bus,Bus,$10-30,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,,Moderately Agree,Sometimes,Never,Never,Sometimes,1991,Female,Hispanic or Latino,White,90063,No,Cesar Chavez,,,South
9515496,06/06/2015,16:14:27,06/06/2015 04:28:00 PM,I Live Here,Daily,,Streetcar/Train,Bus,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,,Moderately Agree,Moderately Agree,Sometimes,Often,Sometimes,Sometimes,1952,Male,Hispanic or Latino,White,90028,No,Hollywood,La Brea ,Gower ,South
9515497,06/06/2015,16:34:39,06/06/2015 04:38:00 PM,I Work Here,Daily,,On foot,Bus,$10-30,Very often,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1977,Male,Non-Hispanic,White,90027,No,Hollywood,La Brea ,Gower ,South
9515498,06/06/2015,16:41:48,06/06/2015 04:45:00 PM,I Live Here,Daily,,Bus,Streetcar/Train,$5-10,Very often,,,,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Often,1959,Male,Non-Hispanic,Black,90028,No,Hollywood,La Brea ,Gower ,South
9515500,06/06/2015,16:46:40,06/06/2015 04:54:00 PM,Passing through en route to somewhere else,Several times a week,< 10 minutes,Streetcar/Train,Bus,None,Sometimes,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Never,Sometimes,Never,Never,1950,Male,Non-Hispanic,Black,90046,No,Hollywood,La Brea ,Gower ,South
9515501,06/06/2015,16:58:15,06/06/2015 05:02:00 PM,I Live Here,Daily,,On foot,Streetcar/Train,$10-30,Often,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1972,Male,Non-Hispanic,White,90028,No,Hollywood,La Brea ,Gower ,South
9515503,06/06/2015,17:32:42,06/06/2015 05:37:00 PM,To meet friends,Daily,30 minutes - 1 hour,Bike,Streetcar/Train,$10-30,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1971,Male,Non-Hispanic,White,91505,No,Hollywood,La Brea ,Gower ,South
9515504,06/06/2015,17:38:29,06/06/2015 05:41:00 PM,To meet friends,,,Car,,$10-30,Sometimes,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1985,Male,Non-Hispanic,White,90825,No,Hollywood,La Brea ,Gower ,South
